epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3566.04,1.82931,2.12135,1.29985,0.67667,0.6197,0.66477,0.37065,1.71942,5.37999,1.25659,0.000665459,0.000665459,0.000665459
2,6183.88,1.69069,1.52852,1.23423,0.68896,0.68775,0.71901,0.38701,1.6287,3.0745,1.21717,0.00130575,0.00130575,0.00130575
3,9965.14,1.66674,1.45027,1.21829,0.69426,0.71539,0.74182,0.42509,1.5943,2.43408,1.22345,0.00191964,0.00191964,0.00191964
4,14092.3,1.63125,1.41622,1.2014,0.69557,0.68052,0.70272,0.37443,1.76629,2.38442,1.28893,0.0018812,0.0018812,0.0018812
5,22166.9,1.58821,1.37129,1.18685,0.72173,0.70977,0.7508,0.43713,1.45203,2.09734,1.12031,0.0018416,0.0018416,0.0018416
6,28738.9,1.54418,1.3001,1.1629,0.69668,0.71719,0.74136,0.4146,1.56333,1.85546,1.19681,0.001802,0.001802,0.001802
7,31410.8,1.52334,1.26646,1.15126,0.71953,0.75701,0.77298,0.4607,1.57216,1.65097,1.17581,0.0017624,0.0017624,0.0017624
8,35305.3,1.50552,1.24014,1.14281,0.69832,0.69536,0.73385,0.43137,1.5912,1.66749,1.19139,0.0017228,0.0017228,0.0017228
9,38133.5,1.49089,1.23936,1.13695,0.74861,0.7466,0.78291,0.47032,1.51172,1.46174,1.1577,0.0016832,0.0016832,0.0016832
10,40826.1,1.4634,1.19068,1.12392,0.72584,0.76261,0.78331,0.47792,1.44118,2.34364,1.12263,0.0016436,0.0016436,0.0016436
11,43519.2,1.45093,1.19667,1.11978,0.75132,0.75471,0.79636,0.4928,1.39605,1.35517,1.1048,0.001604,0.001604,0.001604
12,46270.1,1.43781,1.16496,1.11218,0.74415,0.77942,0.79929,0.49695,1.36454,1.4979,1.09176,0.0015644,0.0015644,0.0015644
13,48952.4,1.42346,1.13907,1.10177,0.73481,0.78383,0.80177,0.50351,1.37093,1.62838,1.09854,0.0015248,0.0015248,0.0015248
14,51631.7,1.42185,1.13808,1.10591,0.72025,0.78745,0.81356,0.51866,1.34402,1.43576,1.07367,0.0014852,0.0014852,0.0014852
15,54298.1,1.40535,1.12432,1.09424,0.75912,0.77342,0.8154,0.51826,1.4061,1.23756,1.10439,0.0014456,0.0014456,0.0014456
16,56962.7,1.38838,1.10805,1.08848,0.74517,0.77963,0.79697,0.49402,1.40738,1.29532,1.10756,0.001406,0.001406,0.001406
17,59613.4,1.37864,1.09261,1.0874,0.74809,0.76541,0.80045,0.50105,1.3489,1.26021,1.09382,0.0013664,0.0013664,0.0013664
18,62313.8,1.38514,1.09131,1.08633,0.73237,0.77422,0.79913,0.49224,1.4001,1.45506,1.11042,0.0013268,0.0013268,0.0013268
19,64631,1.36571,1.0849,1.07492,0.7438,0.78983,0.81975,0.52879,1.31198,1.12088,1.06336,0.0012872,0.0012872,0.0012872
20,66913,1.36569,1.07599,1.08255,0.75937,0.78303,0.81737,0.52631,1.32616,1.13362,1.06243,0.0012476,0.0012476,0.0012476
21,69187.2,1.36196,1.06317,1.0736,0.74693,0.79704,0.81497,0.52846,1.30213,1.24203,1.07723,0.001208,0.001208,0.001208
22,71460.8,1.35181,1.05094,1.06911,0.74988,0.80053,0.81704,0.52096,1.31138,1.1602,1.07099,0.0011684,0.0011684,0.0011684
23,73730.5,1.34305,1.04124,1.06827,0.75594,0.78985,0.81653,0.52167,1.36603,1.26595,1.09299,0.0011288,0.0011288,0.0011288
24,76006.8,1.33125,1.03445,1.06428,0.75665,0.78783,0.81991,0.53379,1.33405,1.11525,1.08217,0.0010892,0.0010892,0.0010892
25,78553.3,1.33724,1.03379,1.06627,0.77889,0.78663,0.82662,0.53849,1.3067,1.20331,1.06074,0.0010496,0.0010496,0.0010496
26,80917.7,1.32107,1.00886,1.05779,0.74239,0.81104,0.81863,0.53139,1.31764,1.26079,1.07641,0.00101,0.00101,0.00101
27,86455.1,1.31657,1.00634,1.05812,0.7656,0.79664,0.82582,0.54151,1.32878,1.10652,1.07202,0.0009704,0.0009704,0.0009704
28,88791.4,1.31965,1.01932,1.05638,0.76641,0.79584,0.82305,0.53798,1.32261,1.11525,1.07252,0.0009308,0.0009308,0.0009308
29,91255.1,1.30942,1.00324,1.05283,0.76044,0.77982,0.82088,0.53195,1.30931,1.3018,1.0748,0.0008912,0.0008912,0.0008912
30,94032.8,1.30474,0.98642,1.04418,0.76417,0.79784,0.82402,0.5389,1.29273,1.05948,1.0609,0.0008516,0.0008516,0.0008516
31,96443.7,1.29102,0.97643,1.04514,0.75857,0.81256,0.83276,0.54476,1.29089,1.02958,1.05836,0.000812,0.000812,0.000812
32,98815,1.28995,0.97799,1.04454,0.77837,0.78983,0.82926,0.54572,1.29461,1.00972,1.05907,0.0007724,0.0007724,0.0007724
33,101591,1.28717,0.97667,1.0474,0.77327,0.77902,0.82122,0.5388,1.28461,1.02304,1.06229,0.0007328,0.0007328,0.0007328
34,104477,1.27581,0.97473,1.04319,0.76121,0.81025,0.82881,0.54419,1.28216,1.00299,1.0625,0.0006932,0.0006932,0.0006932
35,107274,1.27897,0.95944,1.03763,0.75506,0.80825,0.82779,0.54375,1.29456,1.02724,1.05561,0.0006536,0.0006536,0.0006536
36,110043,1.26786,0.95163,1.03105,0.75662,0.81465,0.82951,0.54475,1.29845,1.08239,1.05292,0.000614,0.000614,0.000614
37,112780,1.26357,0.94494,1.03017,0.7656,0.80676,0.83024,0.54862,1.29922,0.97435,1.06657,0.0005744,0.0005744,0.0005744
38,115640,1.25351,0.9209,1.02433,0.7798,0.80024,0.82944,0.54392,1.29514,1.00134,1.06324,0.0005348,0.0005348,0.0005348
39,118567,1.2552,0.94315,1.03142,0.76787,0.80464,0.83028,0.54553,1.28992,0.98931,1.0559,0.0004952,0.0004952,0.0004952
40,121334,1.24303,0.91231,1.02271,0.77543,0.79758,0.83394,0.54928,1.28031,0.9338,1.05757,0.0004556,0.0004556,0.0004556
41,124156,1.21615,0.87075,1.03116,0.75498,0.80504,0.8249,0.5438,1.30686,1.04149,1.06499,0.000416,0.000416,0.000416
42,126987,1.19992,0.85716,1.02718,0.76323,0.79904,0.82307,0.54334,1.29299,0.95818,1.06834,0.0003764,0.0003764,0.0003764
43,129834,1.19253,0.84996,1.0225,0.76128,0.79424,0.82491,0.54358,1.29261,1.00988,1.06704,0.0003368,0.0003368,0.0003368
44,132586,1.19161,0.83821,1.01929,0.76759,0.79065,0.82545,0.54081,1.30669,1.02605,1.07167,0.0002972,0.0002972,0.0002972
45,135315,1.18136,0.83021,1.01237,0.77197,0.79343,0.82359,0.54295,1.29937,0.98801,1.0756,0.0002576,0.0002576,0.0002576
46,138091,1.16744,0.81409,1.0107,0.75644,0.81437,0.8251,0.54483,1.27498,0.94543,1.06083,0.000218,0.000218,0.000218
47,140793,1.16407,0.80914,1.01206,0.76498,0.80024,0.8258,0.54472,1.27314,0.97437,1.05794,0.0001784,0.0001784,0.0001784
48,143480,1.16049,0.81055,1.00488,0.76567,0.80574,0.82556,0.54631,1.28003,0.95398,1.06276,0.0001388,0.0001388,0.0001388
49,146150,1.15523,0.79393,1.00224,0.76853,0.79749,0.82153,0.54197,1.28371,0.97227,1.06511,9.92e-05,9.92e-05,9.92e-05
50,148827,1.15211,0.78769,1.00619,0.76683,0.79904,0.8238,0.54445,1.28225,0.97728,1.06356,5.96e-05,5.96e-05,5.96e-05
